user_id,age,gender,country,account_age_months,subscription_type,monthly_fee,payment_method,primary_device,devices_used,favorite_genre,avg_watch_time_minutes,watch_sessions_per_week,binge_watch_sessions,completion_rate,rating_given,content_interactions,recommendation_click_rate,days_since_last_login
U100017,28,Male,USA,14,Standard,12.99,Credit Card,Mobile,2,Action,180,10,5,72,4.1,18,61,9
U100018,41,Female,Canada,32,Premium,15.99,PayPal,Smart TV,3,Drama,240,8,7,81,4.7,25,74,6
U100019,22,Other,UK,5,Basic,9.99,Debit Card,Tablet,1,Comedy,95,6,2,55,3.2,10,40,21
U100020,35,Male,Germany,26,Standard,12.99,Credit Card,Laptop,2,Sci-Fi,210,12,6,68,4.0,22,59,12
U100021,48,Female,Brazil,40,Premium,15.99,PayPal,Smart TV,4,Documentary,260,9,8,85,4.8,30,80,4
U100022,27,Male,India,9,Basic,9.99,Debit Card,Mobile,1,Horror,140,7,3,60,3.5,14,45,18
U100023,53,Female,USA,45,Premium,15.99,Credit Card,Smart TV,3,Drama,300,11,9,90,4.9,40,88,2
U100024,31,Male,France,18,Standard,12.99,PayPal,Laptop,2,Action,200,10,4,70,4.2,19,63,11
U100025,24,Female,Canada,6,Basic,9.99,Debit Card,Mobile,1,Comedy,110,5,2,50,3.1,8,38,25
U100026,39,Male,UK,28,Standard,12.99,Credit Card,Tablet,2,Sci-Fi,230,13,6,75,4.3,27,69,7
